Illumina Library,Note,Library Creation Attempt,Nucleic Acid ID,Library Plate Container Barcode,Container Type,Well,Library Plate Label,Index Name,Final Aliquot Mass (ng),Library Concentration (ng/ul),Library Template Size (bp),Library Molarity QC (pM),Library Volume (ul),Number PCR Cycles,Library QC Result,Failure Mode,Complete
Lib_164,,,NA00656276,27-999999,Plate,A1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_165,,,NA00656277,27-999999,Plate,B1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_166,,,NA00656278,27-999999,Plate,C1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_167,,,NA00656279,27-999999,Plate,D1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_168,,,NA00656280,27-999999,Plate,E1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_169,,,NA00656281,27-999999,Plate,F1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_170,,,NA00656282,27-999999,Plate,G1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_171,,,NA00656283,27-999999,Plate,H1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_172,,,NA00656284,27-999999,Plate,I1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_173,,,NA00656285,27-999999,Plate,J1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_174,,,NA00656286,27-999999,Plate,K1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_175,,,NA00656287,27-999999,Plate,L1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_176,,,NA00656288,27-999999,Plate,M1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_177,,,NA00656289,27-999999,Plate,N1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_178,,,NA00656290,27-999999,Plate,O1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_179,,,NA00656291,27-999999,Plate,P1,XUPVQ-6,,250,,,,,,,,FALSE
Lib_180,,,NA00656292,27-999999,Plate,A2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_181,,,NA00656293,27-999999,Plate,B2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_182,,,NA00656294,27-999999,Plate,C2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_183,,,NA00656295,27-999999,Plate,D2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_184,,,NA00656296,27-999999,Plate,E2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_185,,,NA00656297,27-999999,Plate,F2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_186,,,NA00656298,27-999999,Plate,G2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_187,,,NA00656299,27-999999,Plate,H2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_188,,,NA00656300,27-999999,Plate,I2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_189,,,NA00656301,27-999999,Plate,J2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_190,,,NA00656302,27-999999,Plate,K2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_191,,,NA00656303,27-999999,Plate,L2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_192,,,NA00656304,27-999999,Plate,M2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_193,,,NA00656305,27-999999,Plate,N2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_194,,,NA00656306,27-999999,Plate,O2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_195,,,NA00656307,27-999999,Plate,P2,XUPVQ-6,,250,,,,,,,,FALSE
Lib_196,,,NA00656308,27-999999,Plate,A3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_197,,,NA00656309,27-999999,Plate,B3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_198,,,NA00656310,27-999999,Plate,C3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_199,,,NA00656311,27-999999,Plate,D3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_200,,,NA00656312,27-999999,Plate,E3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_201,,,NA00656313,27-999999,Plate,F3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_202,,,NA00656314,27-999999,Plate,G3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_203,,,NA00656315,27-999999,Plate,H3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_204,,,NA00656316,27-999999,Plate,I3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_205,,,NA00656317,27-999999,Plate,J3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_206,,,NA00656318,27-999999,Plate,K3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_207,,,NA00656319,27-999999,Plate,L3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_208,,,NA00656320,27-999999,Plate,M3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_209,,,NA00656321,27-999999,Plate,N3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_210,,,NA00656322,27-999999,Plate,O3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_211,,,NA00656323,27-999999,Plate,P3,XUPVQ-6,,250,,,,,,,,FALSE
Lib_212,,,NA00656324,27-999999,Plate,A4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_213,,,NA00656325,27-999999,Plate,B4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_214,,,NA00656326,27-999999,Plate,C4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_215,,,NA00656327,27-999999,Plate,D4,XUPVQ-6,,250,,,,,,,,FALSE
Lib_216,,,NA00656328,27-999999,Plate,E4,XUPVQ-6,,250,,,,,,,,FALSE
