Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,B,5,B5,,unused,,,,
,C,5,C5,,sample,1,,,
,D,5,D5,,unused,,,,
,E,5,E5,,sample,1,,,
,F,5,F5,,unused,,,,
,G,5,G5,,sample,1,,,
,H,5,H5,,unused,,,,
,I,5,I5,,sample,1,,,
,J,5,J5,,unused,,,,
,K,5,K5,,sample,1,,,
,L,5,L5,,unused,,,,
,M,5,M5,,sample,1,,,
,N,5,N5,,unused,,,,
,O,5,O5,,sample,1,,,
,P,5,P5,,unused,,,,
,A,6,A6,,unused,,,,
,B,6,B6,,unused,,,,
,C,6,C6,,unused,,,,
,D,6,D6,,unused,,,,
,E,6,E6,,unused,,,,
,F,6,F6,,unused,,,,
,G,6,G6,,unused,,,,
,H,6,H6,,unused,,,,
,I,6,I6,,unused,,,,
,J,6,J6,,unused,,,,
,K,6,K6,,unused,,,,
,L,6,L6,,unused,,,,
,M,6,M6,,unused,,,,
,N,6,N6,,unused,,,,
,O,6,O6,,unused,,,,
,P,6,P6,,unused,,,,
,A,7,A7,,sample,1,,,
,B,7,B7,,unused,,,,
,C,7,C7,,sample,1,,,
,D,7,D7,,unused,,,,
,E,7,E7,,sample,1,,,
,F,7,F7,,unused,,,,
,G,7,G7,,sample,1,,,
,H,7,H7,,unused,,,,
,I,7,I7,,sample,1,,,
,J,7,J7,,unused,,,,
,K,7,K7,,sample,1,,,
,L,7,L7,,unused,,,,
,M,7,M7,,sample,1,,,
,N,7,N7,,unused,,,,
,O,7,O7,,sample,1,,,
,P,7,P7,,unused,,,,
,A,8,A8,,unused,,,,
,B,8,B8,,unused,,,,
,C,8,C8,,unused,,,,
,D,8,D8,,unused,,,,
,E,8,E8,,unused,,,,
,F,8,F8,,unused,,,,
,G,8,G8,,unused,,,,
,H,8,H8,,unused,,,,
,I,8,I8,,unused,,,,
,J,8,J8,,unused,,,,
,K,8,K8,,unused,,,,
,L,8,L8,,unused,,,,
,M,8,M8,,unused,,,,
,N,8,N8,,unused,,,,
,O,8,O8,,unused,,,,
,P,8,P8,,unused,,,,
,A,9,A9,,sample,1,,,
,B,9,B9,,unused,,,,
,C,9,C9,,sample,1,,,
,D,9,D9,,unused,,,,
,E,9,E9,,sample,1,,,
,F,9,F9,,unused,,,,
,G,9,G9,,sample,1,,,
,H,9,H9,,unused,,,,
,I,9,I9,,sample,1,,,
,J,9,J9,,unused,,,,
,K,9,K9,,sample,1,,,
,L,9,L9,,unused,,,,
,M,9,M9,,sample,1,,,
,N,9,N9,,unused,,,,
,O,9,O9,,sample,1,,,
,P,9,P9,,unused,,,,
,A,10,A10,,unused,,,,
,B,10,B10,,unused,,,,
,C,10,C10,,unused,,,,
,D,10,D10,,unused,,,,
,E,10,E10,,unused,,,,
,F,10,F10,,unused,,,,
,G,10,G10,,unused,,,,
,H,10,H10,,unused,,,,
,I,10,I10,,unused,,,,
,J,10,J10,,unused,,,,
,K,10,K10,,unused,,,,
,L,10,L10,,unused,,,,
,M,10,M10,,unused,,,,
,N,10,N10,,unused,,,,
,O,10,O10,,unused,,,,
,P,10,P10,,unused,,,,
,A,11,A11,,sample,1,,,
,B,11,B11,,unused,,,,
,C,11,C11,,sample,1,,,
,D,11,D11,,unused,,,,
,E,11,E11,,sample,1,,,
,F,11,F11,,unused,,,,
,G,11,G11,,sample,1,,,
,H,11,H11,,unused,,,,
,I,11,I11,,sample,1,,,
,J,11,J11,,unused,,,,
,K,11,K11,,sample,1,,,
,L,11,L11,,unused,,,,
,M,11,M11,,sample,1,,,
,N,11,N11,,unused,,,,
,O,11,O11,,sample,1,,,
,P,11,P11,,unused,,,,
,A,12,A12,,unused,,,,
,B,12,B12,,unused,,,,
,C,12,C12,,unused,,,,
,D,12,D12,,unused,,,,
,E,12,E12,,unused,,,,
,F,12,F12,,unused,,,,
,G,12,G12,,unused,,,,
,H,12,H12,,unused,,,,
,I,12,I12,,unused,,,,
,J,12,J12,,unused,,,,
,K,12,K12,,unused,,,,
,L,12,L12,,unused,,,,
,M,12,M12,,unused,,,,
,N,12,N12,,unused,,,,
,O,12,O12,,unused,,,,
,P,12,P12,,unused,,,,
,A,13,A13,,sample,1,,,
,B,13,B13,,unused,,,,
,C,13,C13,,sample,1,,,
,D,13,D13,,unused,,,,
,E,13,E13,,sample,1,,,
,F,13,F13,,unused,,,,
,G,13,G13,,sample,1,,,
,H,13,H13,,unused,,,,
,I,13,I13,,sample,1,,,
,J,13,J13,,unused,,,,
,K,13,K13,,sample,1,,,
,L,13,L13,,unused,,,,
,M,13,M13,,sample,1,,,
,N,13,N13,,unused,,,,
,O,13,O13,,sample,1,,,
,P,13,P13,,unused,,,,
,A,14,A14,,unused,,,,
,B,14,B14,,unused,,,,
,C,14,C14,,unused,,,,
,D,14,D14,,unused,,,,
,E,14,E14,,unused,,,,
,F,14,F14,,unused,,,,
,G,14,G14,,unused,,,,
,H,14,H14,,unused,,,,
,I,14,I14,,unused,,,,
,J,14,J14,,unused,,,,
,K,14,K14,,unused,,,,
,L,14,L14,,unused,,,,
,M,14,M14,,unused,,,,
,N,14,N14,,unused,,,,
,O,14,O14,,unused,,,,
,P,14,P14,,unused,,,,
,A,15,A15,,sample,1,,,
,B,15,B15,,unused,,,,
,C,15,C15,,sample,1,,,
,D,15,D15,,unused,,,,
,E,15,E15,,sample,1,,,
,F,15,F15,,unused,,,,
,G,15,G15,,sample,1,,,
,H,15,H15,,unused,,,,
,I,15,I15,,sample,1,,,
,J,15,J15,,unused,,,,
,K,15,K15,,sample,1,,,
,L,15,L15,,unused,,,,
,M,15,M15,,sample,1,,,
,N,15,N15,,unused,,,,
,O,15,O15,,sample,1,,,
,P,15,P15,,unused,,,,
,A,16,A16,,unused,,,,
,B,16,B16,,unused,,,,
,C,16,C16,,unused,,,,
,D,16,D16,,unused,,,,
,E,16,E16,,unused,,,,
,F,16,F16,,unused,,,,
,G,16,G16,,unused,,,,
,H,16,H16,,unused,,,,
,I,16,I16,,unused,,,,
,J,16,J16,,unused,,,,
,K,16,K16,,unused,,,,
,L,16,L16,,unused,,,,
,M,16,M16,,unused,,,,
,N,16,N16,,unused,,,,
,O,16,O16,,unused,,,,
,P,16,P16,,unused,,,,
,A,17,A17,,sample,1,,,
,B,17,B17,,unused,,,,
,C,17,C17,,sample,1,,,
,D,17,D17,,unused,,,,
,E,17,E17,,sample,1,,,
,F,17,F17,,unused,,,,
,G,17,G17,,sample,1,,,
,H,17,H17,,unused,,,,
,I,17,I17,,sample,1,,,
,J,17,J17,,unused,,,,
,K,17,K17,,sample,1,,,
,L,17,L17,,unused,,,,
,M,17,M17,,sample,1,,,
,N,17,N17,,unused,,,,
,O,17,O17,,sample,1,,,
,P,17,P17,,unused,,,,
,A,18,A18,,unused,,,,
,B,18,B18,,unused,,,,
,C,18,C18,,unused,,,,
,D,18,D18,,unused,,,,
,E,18,E18,,unused,,,,
,F,18,F18,,unused,,,,
,G,18,G18,,unused,,,,
,H,18,H18,,unused,,,,
,I,18,I18,,unused,,,,
